Sale Date,Customer Key,Store Key,Product Category Key,Total Amount
2023-02-27 00:00:00,1,2,1,$76.3
2022-06-11 00:00:00,1,7,1,$25.54
2022-07-06 00:00:00,1,2,3,$18.54
2021-06-08 00:00:00,1,3,3,$50.18
2023-02-01 00:00:00,1,5,3,$69.66
2022-03-27 00:00:00,1,7,3,$15.29
2022-11-14 00:00:00,1,1,4,$19.07
2022-04-24 00:00:00,2,1,4,$4.19
2023-01-05 00:00:00,2,6,4,$46.2
2022-09-03 00:00:00,3,5,2,$7.41
2023-03-24 00:00:00,3,5,3,$62.41
2021-10-20 00:00:00,3,7,4,$78.6
2023-08-06 00:00:00,3,8,4,$2.81
2023-01-20 00:00:00,3,8,4,$31.19
2023-06-28 00:00:00,3,9,4,$38.93
2023-12-25 00:00:00,3,9,4,$52.66
2023-01-15 00:00:00,3,10,5,$77.54
2022-02-20 00:00:00,4,8,1,$51.12
2022-12-27 00:00:00,4,9,3,$25.24
2021-11-04 00:00:00,4,4,4,$38.9
2022-02-15 00:00:00,4,9,4,$28.23
2023-06-30 00:00:00,4,7,5,$26.32
2022-03-21 00:00:00,5,4,2,$1.51
2023-07-16 00:00:00,5,4,2,$90.67
2022-11-13 00:00:00,5,4,3,$34.77
2022-09-04 00:00:00,5,9,3,$16.05
2021-03-30 00:00:00,5,5,4,$85.31
2023-05-27 00:00:00,5,9,4,$34.8
2021-02-22 00:00:00,5,4,5,$49.65
2023-08-31 00:00:00,6,1,2,$44.48
2021-12-20 00:00:00,6,9,2,$42.09
2021-09-05 00:00:00,6,1,3,$77.05
2022-07-11 00:00:00,6,8,3,$90.96
2023-10-14 00:00:00,6,4,5,$51.79
2023-08-04 00:00:00,6,9,5,$89.44
2023-08-06 00:00:00,7,6,1,$40.79
2022-10-01 00:00:00,7,6,5,$53.69
2022-03-05 00:00:00,8,6,2,$97.49
2022-02-25 00:00:00,8,1,3,$59.62
2023-05-26 00:00:00,8,2,3,$96.34
2023-04-28 00:00:00,8,5,3,$67.35
2023-12-08 00:00:00,8,2,4,$53.8
2021-10-07 00:00:00,8,2,5,$32.47
2021-09-25 00:00:00,8,3,5,$46.14
2021-11-07 00:00:00,8,6,5,$79.94
2022-12-26 00:00:00,8,9,5,$59.29
2022-04-09 00:00:00,9,2,1,$25.69
2022-04-05 00:00:00,9,4,3,$9.13
2021-06-16 00:00:00,9,10,4,$16.87
2022-06-15 00:00:00,10,6,1,$38.1
2021-11-22 00:00:00,10,10,1,$39.89
2022-04-03 00:00:00,10,8,3,$56.99
2023-01-27 00:00:00,10,2,4,$83.42
2021-04-19 00:00:00,10,7,4,$12.94
2021-04-23 00:00:00,10,9,4,$28.03
2021-08-19 00:00:00,10,10,4,$48.38
2021-01-04 00:00:00,10,8,5,$95.29
2022-01-12 00:00:00,10,10,5,$24.31
2023-05-24 00:00:00,11,1,1,$78.77
2023-08-11 00:00:00,11,8,2,$39.17
2022-10-24 00:00:00,11,5,3,$22.42
2023-07-17 00:00:00,12,2,1,$4.6
2022-04-14 00:00:00,12,3,1,$46.73
2022-09-17 00:00:00,12,3,1,$94.8
2022-07-19 00:00:00,12,9,1,$35.54
2022-06-28 00:00:00,12,1,2,$81.23
2023-05-11 00:00:00,12,5,2,$5.35
2021-08-15 00:00:00,12,1,3,$87.45
2022-07-02 00:00:00,12,4,3,$55.19
2023-09-15 00:00:00,12,1,5,$31.51
2023-07-27 00:00:00,12,4,5,$52.15
2023-05-05 00:00:00,12,9,5,$44.96
2023-07-20 00:00:00,13,10,1,$75.79
2022-09-09 00:00:00,13,6,2,$24.49
2022-08-25 00:00:00,13,5,3,$71.73
2022-08-24 00:00:00,13,7,3,$17.5
2021-05-23 00:00:00,13,1,5,$53.99
2023-04-07 00:00:00,14,5,3,$8.58
2023-05-05 00:00:00,14,6,3,$32.45
2023-08-24 00:00:00,14,3,5,$77.9
2022-01-15 00:00:00,15,1,2,$95.76
2021-07-23 00:00:00,15,8,3,$94.79
2021-01-14 00:00:00,15,7,4,$32.76
2022-05-06 00:00:00,15,4,5,$96.37
2021-12-21 00:00:00,15,5,5,$41.29
2021-01-12 00:00:00,15,8,5,$9.45
2021-02-16 00:00:00,15,9,5,$50.55
2022-10-25 00:00:00,16,5,3,$6.48
2021-03-30 00:00:00,16,6,3,$62.04
2023-05-13 00:00:00,16,8,3,$38.59
2021-09-12 00:00:00,16,5,4,$78.76
2022-07-19 00:00:00,16,8,4,$85.33
